p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.468064154944891e-6,0.3544322383824068,0.163,0.357,0.2209940854405687,0,Dnajc5
1.0402842057039346e-5,0.44984165602382653,0.158,0.364,0.24281273645335535,0,Mphosph8
1.1065654086136846e-5,0.34772622832428457,0.195,0.429,0.25828343202452014,0,Commd4
1.1519174611906476e-5,0.3979681407785236,0.422,0.693,0.26886905461650906,0,Add1
1.1566200326998892e-5,0.31072645528385046,0.278,0.514,0.2699666818324811,0,Fam3c
1.1597860066028095e-5,0.322367021028116,0.225,0.464,0.2707056518011618,0,Gtf2a2
1.3132731028946513e-5,0.587448002061143,0.176,0.371,0.30653107494664056,0,Acly
1.325337207631741e-5,0.25978935376608936,0.12,0.293,0.30934695763332465,0,Tet3
1.5226129151691616e-5,0.37522878688993355,0.139,0.329,0.35539308052963403,0,Rnf139
2.0724877890558903e-5,0.33238781736815515,0.168,0.364,0.48373937484353535,0,Cog8
2.1133303470622715e-5,0.2860948382579922,0.104,0.264,0.49327243630780476,0,Mrpl37
2.159392357143032e-5,0.3406875976798309,0.348,0.614,0.504023770080755,0,Plek
2.2826595727101826e-5,0.40178377648457664,0.104,0.264,0.5327955708662837,0,Slc4a1ap
2.4017831372842365e-05,0.5937134624469755,0.102,0.257,0.5606002020735137,0,Aldh16a1
2.4089777400427695e-5,0.351065355451043,0.262,0.493,0.5622794943033829,0,Spin1
